date,campaign_id,Campaign,Impressions,Clicks,Cost,Conversions,CTR,Avg. CPC
{{T-13d}},2200000101,Brand — Core,8710,567,2380.13,31.0,0.065098,4.2
{{T-13d}},2200000102,Nonbrand — Incident Mgmt,12908,546,3985.26,26.0,0.042299,7.3
{{T-13d}},2200000103,Competitor — Conquest,6314,197,1875.39,5.0,0.031201,9.52
{{T-12d}},2200000101,Brand — Core,8986,585,2455.5,32.0,0.065101,4.2
{{T-12d}},2200000102,Nonbrand — Incident Mgmt,13333,564,4120.63,27.0,0.042301,7.31
{{T-12d}},2200000103,Competitor — Conquest,6506,203,1932.76,5.0,0.031202,9.52
{{T-11d}},2200000101,Brand — Core,8402,547,2298.87,30.0,0.065104,4.2
{{T-11d}},2200000102,Nonbrand — Incident Mgmt,12648,535,3908.0,26.0,0.042299,7.3
{{T-11d}},2200000103,Competitor — Conquest,6250,195,1848.13,5.0,0.0312,9.48
{{T-10d}},2200000101,Brand — Core,9186,598,2512.24,33.0,0.065099,4.2
{{T-10d}},2200000102,Nonbrand — Incident Mgmt,13617,576,4204.37,28.0,0.0423,7.3
{{T-10d}},2200000103,Competitor — Conquest,6635,207,1964.5,5.0,0.031198,9.49
{{T-9d}},2200000101,Brand — Core,8925,581,2441.61,32.0,0.065098,4.2
{{T-9d}},2200000102,Nonbrand — Incident Mgmt,12553,531,3877.74,26.0,0.042301,7.3
{{T-9d}},2200000103,Competitor — Conquest,6410,200,1903.87,5.0,0.031201,9.52
{{T-8d}},2200000101,Brand — Core,8664,564,2367.98,31.0,0.065097,4.2
{{T-8d}},2200000102,Nonbrand — Incident Mgmt,13168,557,4066.11,27.0,0.0423,7.3
{{T-8d}},2200000103,Competitor — Conquest,6250,195,1856.24,5.0,0.0312,9.52
{{T-7d}},2200000101,Brand — Core,9109,593,2489.35,33.0,0.0651,4.2
{{T-7d}},2200000102,Nonbrand — Incident Mgmt,13002,550,4012.48,26.0,0.042301,7.3
{{T-7d}},2200000103,Competitor — Conquest,6474,202,1921.61,5.0,0.031202,9.51
{{T-6d}},2200000101,Brand — Core,8786,572,2403.72,32.0,0.065104,4.2
{{T-6d}},2200000102,Nonbrand — Incident Mgmt,12790,541,3948.85,26.0,0.042299,7.3
{{T-6d}},2200000103,Competitor — Conquest,6378,199,1889.98,5.0,0.031201,9.5
{{T-5d}},2200000101,Brand — Core,8618,561,2358.09,31.0,0.065096,4.2
{{T-5d}},2200000102,Nonbrand — Incident Mgmt,13381,566,4135.22,27.0,0.042299,7.31
{{T-5d}},2200000103,Competitor — Conquest,6571,205,1947.35,5.0,0.031198,9.5
{{T-4d}},2200000101,Brand — Core,9032,588,2471.46,32.0,0.065102,4.2
{{T-4d}},2200000102,Nonbrand — Incident Mgmt,12648,535,3902.59,26.0,0.042299,7.29
{{T-4d}},2200000103,Competitor — Conquest,6314,197,1872.72,5.0,0.031201,9.51
{{T-3d}},2200000101,Brand — Core,9201,599,2515.83,33.0,0.065102,4.2
{{T-3d}},2200000102,Nonbrand — Incident Mgmt,13546,573,4180.96,28.0,0.0423,7.3
{{T-3d}},2200000103,Competitor — Conquest,6474,202,1915.09,5.0,0.031202,9.48
{{T-2d}},2200000101,Brand — Core,8756,570,2392.2,31.0,0.065098,4.2
{{T-2d}},2200000102,Nonbrand — Incident Mgmt,12931,547,3995.33,26.0,0.042301,7.3
{{T-2d}},2200000103,Competitor — Conquest,6410,200,1898.46,5.0,0.031201,9.49
{{T-1d}},2200000101,Brand — Core,8955,583,2446.57,32.0,0.065103,4.2
{{T-1d}},2200000102,Nonbrand — Incident Mgmt,12861,544,3968.7,26.0,0.042298,7.3
{{T-1d}},2200000103,Competitor — Conquest,6538,204,1936.83,5.0,0.031202,9.49
{{T+0d}},2200000101,Brand — Core,8879,578,2428.94,32.0,0.065097,4.2
{{T+0d}},2200000102,Nonbrand — Incident Mgmt,31054,1208,9860.07,31.0,0.0389,8.16
{{T+0d}},2200000103,Competitor — Conquest,6442,201,1907.2,5.0,0.031201,9.49
